School #,School name,url,lat,lon,programme,country
1,"Samphana Primary",https://lesmis.edu.la/en/10108033/dashboard,18.057,102.318,A,Laos
2,"Kaengmor Primary",https://lesmis.edu.la/en/10108028/dashboard,18.056,102.310,B,Laos
3,"Paktorn Primary",https://lesmis.edu.la/en/10108018/dashboard,18.092,102.286,A,Laos
4,"Khokpherng Primary",https://lesmis.edu.la/en/10108022/dashboard,18.101,102.258,C,Laos
5,"Sakaiy Primary",https://lesmis.edu.la/en/10108023/dashboard,18.135, 102.222,B,Laos
6,"Mexico",https://lesmis.edu.la/en/10108023/dashboard,23.626, -102.5374,B,Mexico

